Name,Type
self.Form,QWidget
self.scrollArea,QScrollArea
self.scrollAreaWidgetContents,QWidget
self.hopper_heater_gbox,QGroupBox
self.hopper_heater_ptc_qty,QLabel
self.label_65,QLabel
self.hopper_heater_qty,QSpinBox
self.hopper_heater_checkbox,QCheckBox
self.frame_6,QFrame
self.hopper_heater_kw,QComboBox
self.hopper_heater_ptc_brand,QComboBox
self.vibration_gbox,QGroupBox
self.vibration_motor_kw,QComboBox
self.vibration_motor_qty,QSpinBox
self.vibration_checkbox,QCheckBox
self.vibration_gbox_2,QGroupBox
self.project_no_label_5,QLabel
self.project_no_label_6,QLabel
self.p_no_label_5,QLabel
self.el_tab_rev_hint_combo,QComboBox
self.freshair_gbox,QGroupBox
self.freshair_zs_brand,QComboBox
self.label_60,QLabel
self.freshair_tt_brand,QComboBox
self.freshair_flap_motor_start_type,QComboBox
self.label_50,QLabel
self.freshair_motor_start_type,QComboBox
self.freshair_motor_kw,QComboBox
self.freshair_checkbox,QCheckBox
self.emergency_flap_motor_start_type,QComboBox
self.emergency_flap_motor_qty,QSpinBox
self.freshair_flap_motor_kw,QComboBox
self.frame_4,QFrame
self.freshair_zs_qty,QSpinBox
self.freshair_tt_qty,QSpinBox
self.label_53,QLabel
self.emergency_flap_motor_kw,QComboBox
self.freshair_motor_qty,QSpinBox
self.label_52,QLabel
self.freshair_flap_motor_qty,QSpinBox
self.transport_gbox,QGroupBox
self.frame_2,QFrame
self.rotary_kw,QComboBox
self.label_43,QLabel
self.label_35,QLabel
self.transport_zs_brand,QComboBox
self.label_47,QLabel
self.transport_checkbox,QCheckBox
self.transport_zs_qty,QSpinBox
self.telescopic_chute_kw,QComboBox
self.rotary_qty,QSpinBox
self.telescopic_chute_qty,QSpinBox
self.transport_ls_bin_brand,QComboBox
self.transport_ls_bin_qty,QSpinBox
self.transport_lt_qty,QSpinBox
self.transport_lt_brand,QComboBox
self.label_36,QLabel
self.label_46,QLabel
self.label_40,QLabel
self.screw2_label,QLabel
self.screw2_kw,QComboBox
self.screw2_qty,QSpinBox
self.screw1_kw,QComboBox
self.screw2_add_btn,QPushButton
self.screw2_minuse_btn,QPushButton
self.screw1_qty,QSpinBox
self.label_38,QLabel
self.slide_gate_qty,QSpinBox
self.slide_gate_kw,QComboBox
self.label_44,QLabel
self.transport_spd_brand,QComboBox
self.transport_spd_qty,QSpinBox
self.fan_damper_gbox,QGroupBox
self.label_31,QLabel
self.fan_brand,QComboBox
self.fan_space_heater,QCheckBox
self.fan_de_nde,QCheckBox
self.fan_bearing_vt_qty,QSpinBox
self.fan_bearing_tt_qty,QSpinBox
self.qss_btn,QPushButton
self.label_27,QLabel
self.fan_thermal_protection,QComboBox
self.fan_pt_brand,QComboBox
self.fan_start_type,QComboBox
self.fan_tt_brand,QComboBox
self.pt100_brand,QComboBox
self.damper_zs_brand,QComboBox
self.damper_checkbox,QCheckBox
self.label_21,QLabel
self.fan_bearing_vt_brand,QComboBox
self.fan_rpm,QLineEdit
self.label_33,QLabel
self.label_24,QLabel
self.fan_checkbox,QCheckBox
self.damper_kw,QComboBox
self.damper_brand,QComboBox
self.label_22,QLabel
self.damper_zs_qty,QSpinBox
self.label_19,QLabel
self.damper_start_type,QComboBox
self.label_26,QLabel
self.fan_painting_ral,QComboBox
self.fan_pt_qty,QSpinBox
self.label_20,QLabel
self.fan_kw,QComboBox
self.fan_tt_qty,QSpinBox
self.fan_voltage_type_text,QLabel
self.label_30,QLabel
self.fan_bearing_tt_brand,QComboBox
self.fan_efficiency_class,QComboBox
self.label_32,QLabel
self.fan_cooling_method,QComboBox
self.label_25,QLabel
self.label_29,QLabel
self.pt100_qty,QSpinBox
self.frame,QFrame
self.fan_voltage_type,QComboBox
self.fan_ip,QComboBox
self.baghouse_gbox,QGroupBox
self.label_13,QLabel
self.frame_7,QFrame
self.bagfilter_pg_brand,QComboBox
self.bagfilter_pt_brand,QComboBox
self.bagfilter_dpt_qty,QSpinBox
self.label_8,QLabel
self.bagfilter_pt_qty,QSpinBox
self.label_11,QLabel
self.label_3,QLabel
self.screw2_add_btn_2,QPushButton
self.bagfilter_ps_brand,QComboBox
self.search_instrument,QLineEdit
self.label_4,QLabel
self.bagfilter_inlet_tt_qty,QSpinBox
self.cable_supply,QCheckBox
self.bagfilter_type,QComboBox
self.olm,QCheckBox
self.bagfilter_ps_qty,QSpinBox
self.bagfilter_outlet_tt_brand,QComboBox
self.label_12,QLabel
self.label_10,QLabel
self.bagfilter_dps_brand,QComboBox
self.plc_series,QComboBox
self.bagfilter_dpt_brand,QComboBox
self.bagfilter_dps_qty,QSpinBox
self.cable_length,QSpinBox
self.bagfilter_order,QLineEdit
self.label_9,QLabel
self.bagfilter_outlet_tt_qty,QSpinBox
self.bagfilter_pg_qty,QSpinBox
self.touch_panel_model,QComboBox
self.label_14,QLabel
self.me,QCheckBox
self.ee,QCheckBox
self.plc_protocol,QComboBox
self.label_2,QLabel
self.bagfilter_inlet_tt_brand,QComboBox
self.spare_pins,QSpinBox
self.label_5,QLabel
